PModel;Task;OpType;Opt;LNum;InsCount;Timer;AvTime;AbsErr;RelErr;TaskPerf
AMD A4-9120;pow1000000;e;O0;999999;19.9315686;1.2464631;0.0000012;0.0000089;711.7063628;15990484.0872685
AMD A4-9120;pow10000000;e;O0;999999;23.2534967;1.2145507;0.0000012;0.0000057;467.0389406;19145741.9060248
AMD A4-9120;pow100000000;e;O0;999999;26.5754248;1.3184485;0.0000013;0.0000181;1376.0242613;20156568.3734316
AMD A4-9120;pow1000000;d;O0;999999;19.9315686;0.1320790;0.0000001;0.0000004;290.5286053;150906252.9076298
AMD A4-9120;pow10000000;d;O0;999999;23.2534967;0.1364744;0.0000001;0.0000006;428.7772636;170387126.8732338
AMD A4-9120;pow100000000;d;O0;999999;26.5754248;0.1374707;0.0000001;0.0000009;650.4270219;193316860.8037701
AMD A4-9120;pow1000000;l;O0;999999;19.9315686;0.1306656;0.0000001;0.0000021;1573.5524163;152538611.9063468
AMD A4-9120;pow10000000;l;O0;999999;23.2534967;0.1311714;0.0000001;0.0000007;535.4489395;177275513.6468473
AMD A4-9120;pow100000000;l;O0;999999;26.5754248;0.1307963;0.0000001;0.0000007;562.9154590;203181524.8739087
AMD A4-9120;pow1000000;e;O1;999999;19.9315686;1.1739144;0.0000012;0.0000051;432.1274213;16978707.5760413
AMD A4-9120;pow10000000;e;O1;999999;23.2534967;1.1905718;0.0000012;0.0000071;596.8371673;19531348.9484594
AMD A4-9120;pow100000000;e;O1;999999;26.5754248;1.1893884;0.0000012;0.0000022;181.2909480;22343750.4729997
AMD A4-9120;pow1000000;d;O1;999999;19.9315686;0.1207916;0.0000001;0.0000005;403.5814900;165007703.4542397
AMD A4-9120;pow10000000;d;O1;999999;23.2534967;0.1197497;0.0000001;0.0000004;363.0016575;194184003.2107894
AMD A4-9120;pow100000000;d;O1;999999;26.5754248;0.1236423;0.0000001;0.0000006;492.1529523;214937683.8360895
AMD A4-9120;pow1000000;l;O1;999999;19.9315686;0.1204199;0.0000001;0.0000005;398.1349775;165517050.3509056
AMD A4-9120;pow10000000;l;O1;999999;23.2534967;0.1233578;0.0000001;0.0000005;430.8249479;188504235.2861986
AMD A4-9120;pow100000000;l;O1;999999;26.5754248;0.1225969;0.0000001;0.0000005;403.3680024;216770642.6951712
AMD A4-9120;pow1000000;e;O2;999999;19.9315686;1.2015244;0.0000012;0.0000140;1165.0092608;16588551.2622424
AMD A4-9120;pow10000000;e;O2;999999;23.2534967;1.2731163;0.0000013;0.0000240;1882.4133445;18265003.3064378
AMD A4-9120;pow100000000;e;O2;999999;26.5754248;1.3477642;0.0000013;0.0000283;2101.0041856;19718135.9252017
AMD A4-9120;pow1000000;d;O2;999999;19.9315686;0.1256288;0.0000001;0.0000010;775.2327092;158654347.5798406
AMD A4-9120;pow10000000;d;O2;999999;23.2534967;0.1227188;0.0000001;0.0000009;744.5039915;189485875.7156779
AMD A4-9120;pow100000000;d;O2;999999;26.5754248;0.1400596;0.0000001;0.0000052;3701.6381176;189743469.1288909
AMD A4-9120;pow1000000;l;O2;999999;19.9315686;0.1190520;0.0000001;0.0000004;312.5046259;167418847.5435576
AMD A4-9120;pow10000000;l;O2;999999;23.2534967;0.1227238;0.0000001;0.0000006;508.6372900;189478163.4200438
AMD A4-9120;pow100000000;l;O2;999999;26.5754248;0.1200071;0.0000001;0.0000004;351.9760249;221448621.1246700
AMD A4-9120;pow1000000;e;O3;999999;19.9315686;1.2800010;0.0000013;0.0000226;1764.7353394;15571510.6702831
AMD A4-9120;pow10000000;e;O3;999999;23.2534967;1.1723348;0.0000012;0.0000079;677.7467623;19835180.7157031
AMD A4-9120;pow100000000;e;O3;999999;26.5754248;1.1649816;0.0000012;0.0000032;278.5666966;22811861.4450375
AMD A4-9120;pow1000000;d;O3;999999;19.9315686;0.1185705;0.0000001;0.0000005;423.6351041;168098698.9906421
AMD A4-9120;pow10000000;d;O3;999999;23.2534967;0.1188825;0.0000001;0.0000003;286.1768356;195600393.8872045
AMD A4-9120;pow100000000;d;O3;999999;26.5754248;0.1222804;0.0000001;0.0000005;370.9235996;217331583.5384589
AMD A4-9120;pow1000000;l;O3;999999;19.9315686;0.1190411;0.0000001;0.0000003;272.8357119;167434177.2526936
AMD A4-9120;pow10000000;l;O3;999999;23.2534967;0.1217962;0.0000001;0.0000004;355.2043598;190921115.3273553
AMD A4-9120;pow100000000;l;O3;999999;26.5754248;0.1199100;0.0000001;0.0000004;293.2917778;221627896.4626537
